"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"163","AVM","Aviemore",43582,66878,1630,112090,1566,69,"Inverness",8610,"Scotland","ScotRail",0,1,"Highland Main Line"
"164","AVN","Avonmouth",83898,9560,16478,109936,1578,0,"Bristol Temple Meads",3200,"South West","Great Western Railway",0,1,"Severn Beach Line"
"165","AVP","Aylesbury Vale Parkway",44188,38412,21144,103744,1615,0,"London Marylebone",1090,"South East","Chiltern Railways",0,1,"London–Aylesbury Line"
"166","AVY","Aberdovey",24642,9566,0,34208,2071,0,"Tywyn",4435,"Wales","TfW Rail",0,1,"Cambrian Line"
"167","AWK","Adwick",51206,51822,18176,121204,1520,0,"Doncaster",8353,"Yorkshire and The Humber","Northern Trains",0,1,"Carcroft Junction to Stainforth Junction Line"
"168","AWK","Adwick",51206,51822,18176,121204,1520,0,"Doncaster",8353,"Yorkshire and The Humber","Northern Trains",0,1,"Doncaster and Leeds Line"
"169","AWM","Ashwell and Morden",44394,56834,39468,140696,1454,0,"Cambridge",6083,"East of England","Govia Thameslink Railway (Great Northern)",0,1,"Hitchin-Cambridge Line"
"170","AWT","Armathwaite",976,6974,480,8430,2350,0,"Carlisle",2054,"North West","Northern Trains",0,1,"Settle-Carlisle Railway"
"171","AXM","Axminster",23054,236858,106538,366450,909,0,"Exeter Central",5714,"South West","South Western Railway",0,1,"West of England Main Line"
"172","AXP","Alexandra Parade",83590,165438,14686,263714,1094,0,"Glasgow Queen Street",9905,"Scotland","ScotRail",0,1,"Springburn Line"
"173","AYH","Aylesham",31870,41202,30054,103126,1618,0,"Canterbury East",5197,"South East","Southeastern",0,1,"Chatham Main Line"
"174","AYL","Aylesford",39442,32104,37646,109192,1581,0,"Strood (Kent)",5162,"South East","Southeastern",0,1,"Medway Valley Line"
