Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Liverpool James Street,,"705,732","1,372,678","322,006","2,400,416",194,0,Birkenhead Hamilton Square,LVJ,North West,Merseyrail,,,,,,,,,
Benfleet,,"1,040,696","719,776","637,588","2,398,060",195,0,London Fenchurch Street,BEF,East of England,c2c,,,,,,,,,
Basildon,,"1,012,610","761,742","619,808","2,394,160",196,0,London Fenchurch Street,BSO,East of England,c2c,,,,,,,,,
Hull,,"146,530","2,103,818","133,094","2,383,442",197,"71,382",Leeds,HUL,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Greenwich,,"731,458","1,201,754","433,808","2,367,020",198,0,London Bridge,GNW,London,Southeastern,,,,,,,,,
Bishops Stortford,,"783,968","978,128","601,384","2,363,480",199,"71,988",London Liverpool Street,BIS,East of England,Greater Anglia,,,,,,,,,
Canonbury,,"741,898","1,359,576","248,210","2,349,684",200,"841,885",Highbury and Islington,CNN,London,London Overground,,,,,,,,,
Purley,,"788,166","1,191,826","368,108","2,348,100",201,"549,392",London Bridge,PUR,London,Govia Thameslink Railway (Southern),,,,,,,,,
Harpenden,,"734,082","1,254,904","356,880","2,345,866",202,"3,861",London St Pancras International,HPD,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Newport (South Wales),,"1,027,714","1,130,560","181,292","2,339,566",203,"478,180",Cardiff Central,NWP,Wales,TfW Rail,,,,,,,,,
Didcot Parkway,,"409,126","1,444,234","476,344","2,329,704",204,"545,574",London Paddington,DID,South East,Great Western Railway,,,,,,,,,
Plymouth,,"181,586","1,972,450","159,056","2,313,092",205,"90,291",London Paddington,PLY,South West,Great Western Railway,,,,,,,,,
Honor Oak Park,,"793,218","1,311,624","204,254","2,309,096",206,0,Canada Water,HPA,London,London Overground,,,,,,,,,
Haymarket,,"997,268","1,216,172","94,976","2,308,416",207,"426,734",Glasgow Queen Street,HYM,Scotland,ScotRail,,,,,,,,,
Kensington Olympia,,"792,144","1,144,772","344,988","2,281,904",208,"3,443",West Brompton,KPA,London,London Overground,,,,,,,,,
Streatham Common,,"717,704","912,356","638,868","2,268,928",209,"83,725",London Victoria,SRC,London,Govia Thameslink Railway (Southern),,,,,,,,,
Wapping,,"651,162","1,399,814","208,516","2,259,492",210,0,Canada Water,WPE,London,London Overground,,,,,,,,,
Highams Park,,"860,040","1,180,972","217,838","2,258,850",211,0,Walthamstow Central,HIP,London,London Overground,,,,,,,,,
Gravesend,,"716,158","992,194","547,704","2,256,056",212,"443,733",London St Pancras International,GRV,South East,Southeastern,,,,,,,,,
Bradford Interchange,,"566,596","1,311,412","346,904","2,224,912",213,"69,528",Leeds,BDI,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Gospel Oak,,"714,118","1,231,714","277,850","2,223,682",214,"1,737,753",Highbury and Islington,GPO,London,London Overground,,,,,,,,,
Darlington,,"273,978","1,828,246","117,454","2,219,678",215,"471,935",London Kings Cross,DAR,North East,London North Eastern Railway,,,,,,,,,
Kensal Rise,,"696,770","1,063,768","438,024","2,198,562",216,0,West Hampstead,KNR,London,London Overground,,,,,,,,,
Hatfield (Herts),,"855,630","1,157,872","174,958","2,188,460",217,0,London Kings Cross,HAT,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Sidcup,,"882,426","1,000,174","296,516","2,179,116",218,0,London Bridge,SID,London,Southeastern,,,,,,,,,
Brondesbury,,"597,922","1,079,880","500,916","2,178,718",219,0,Shepherd's Bush,BSY,London,London Overground,,,,,,,,,
Canterbury West,,"488,644","1,380,204","308,420","2,177,268",220,"146,230",London St Pancras International,CBW,South East,Southeastern,,,,,,,,,
Lewes,,"447,710","1,194,238","532,490","2,174,438",221,"412,266",Brighton,LWS,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Chafford Hundred Lakeside,,"776,222","996,586","355,162","2,127,970",222,0,London Fenchurch Street,CFH,East of England,c2c,,,,,,,,,
Cheshunt,,"782,896","1,193,460","149,370","2,125,726",223,"231,588",London Liverpool Street,CHN,East of England,Greater Anglia,,,,,,,,,
Gillingham (Kent),,"617,732","927,864","574,864","2,120,460",224,"602,044",London Victoria,GLM,South East,Southeastern,,,,,,,,,
Partick,,"536,758","1,279,796","286,174","2,102,728",225,"231,440",Glasgow Central,PTK,Scotland,ScotRail,,,,,,,,,
Horsham,,"586,816","1,021,486","485,380","2,093,682",226,"104,781",London Victoria,HRH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Leamington Spa,,"786,104","1,116,734","187,898","2,090,736",227,"162,710",London Marylebone,LMS,West Midlands,Chiltern Railways,,,,,,,,,
Welwyn Garden City,,"856,162","991,768","232,852","2,080,782",228,"41,800",London Kings Cross,WGC,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Potters Bar,,"818,116","1,002,906","251,732","2,072,754",229,0,Finsbury Park,PBR,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Blackheath,,"690,438","1,083,700","295,530","2,069,668",230,"4,047",London Bridge,BKH,London,Southeastern,,,,,,,,,
Kirkby (Merseyside),,"242,862","1,336,768","481,344","2,060,974",231,"14,106",Liverpool Central,KIR,North West,Merseyrail,,,,,,,,,
Southend Central,,"605,474","881,468","554,478","2,041,420",232,"2,481",London Fenchurch Street,SOC,East of England,c2c,,,,,,,,,
Walton-On-Thames,,"752,828","861,248","420,440","2,034,516",233,0,London Waterloo,WAL,South East,South Western Railway,,,,,,,,,
Chatham,,"598,184","870,308","541,836","2,010,328",234,"6,950",London Victoria,CTM,South East,Southeastern,,,,,,,,,
Grove Park,,"667,822","890,186","451,352","2,009,360",235,"276,182",London Bridge,GRP,London,Southeastern,,,,,,,,,
Herne Hill,,"671,736","994,016","337,784","2,003,536",236,"843,160",London Victoria,HNH,London,Southeastern,,,,,,,,,
Selly Oak,,"549,088","814,616","631,218","1,994,922",237,0,Birmingham New Street,SLY,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Kentish Town,,"675,512","978,004","338,208","1,991,724",238,0,Farringdon,KTN,London,London Underground,,,,,,,,,
White Hart Lane,,"556,446","1,184,782","249,976","1,991,204",239,0,Seven Sisters,WHL,London,London Overground,,,,,,,,,
Streatham (Greater London),,"694,452","888,002","406,344","1,988,798",240,"295,661",Farringdon,STE,London,Govia Thameslink Railway (Southern),,,,,,,,,
Staines,,"730,202","942,622","306,888","1,979,712",241,"254,906",London Waterloo,SNS,South East,South Western Railway,,,,,,,,,
Cheltenham Spa,,"438,688","1,453,782","72,782","1,965,252",242,"221,843",Bristol Temple Meads,CNM,South West,Great Western Railway,,,,,,,,,
Aberdeen,Yes,"487,274","1,383,410","90,730","1,961,414",243,"179,272",Edinburgh,ABD,Scotland,ScotRail,,,,,,,,,
Farnborough (Main),,"624,020","913,230","402,722","1,939,972",244,"5,162",London Waterloo,FNB,South East,South Western Railway,,,,,,,,,
Norbury,,"581,892","754,050","602,268","1,938,210",245,0,London Victoria,NRB,London,Govia Thameslink Railway (Southern),,,,,,,,,
Wakefield Westgate,,"280,780","1,458,282","198,050","1,937,112",246,"105,852",Leeds,WKF,Yorkshire and The Humber,London North Eastern Railway,,,,,,,,,
Blackhorse Road,,"568,902","945,460","418,100","1,932,462",247,0,Barking,BHO,London,London Underground,,,,,,,,,
Stirling,,"577,796","1,227,642","121,752","1,927,190",248,"286,373",Glasgow Queen Street,STG,Scotland,ScotRail,,,,,,,,,
High Wycombe,,"849,290","786,476","281,504","1,917,270",249,"91,589",London Marylebone,HWY,South East,Chiltern Railways,,,,,,,,,
Thornton Heath,,"558,144","792,280","564,798","1,915,222",250,0,London Victoria,TTH,London,Govia Thameslink Railway (Southern),,,,,,,,,
Rugby,,"402,390","1,243,008","267,944","1,913,342",251,"180,763",London Euston,RUG,West Midlands,Avanti West Coast,,,,,,,,,
Blackpool North,,"175,268","1,691,274","42,236","1,908,778",252,987,Preston (Lancs),BPN,North West,Northern Trains,,,,,,,,,
Barnes,,"671,828","824,192","409,180","1,905,200",253,"17,391",London Waterloo,BNS,London,South Western Railway,,,,,,,,,
Hastings,,"277,172","1,146,870","478,678","1,902,720",254,"35,074",Bexhill,HGS,South East,Southeastern,,,,,,,,,
Ely,,"487,680","1,079,570","326,764","1,894,014",255,"344,826",Cambridge,ELY,East of England,Greater Anglia,,,,,,,,,
Worthing,,"422,314","1,141,154","327,944","1,891,412",256,"18,160",Brighton,WRH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Billericay,,"809,220","574,122","503,672","1,887,014",257,0,London Liverpool Street,BIC,East of England,Greater Anglia,,,,,,,,,
Swansea,,"806,700","964,572","112,302","1,883,574",258,"96,651",Cardiff Central,SWA,Wales,TfW Rail,,,,,,,,,
Tulse Hill,,"680,414","893,942","302,766","1,877,122",259,"547,235",London Bridge,TUH,London,Govia Thameslink Railway (Southern),,,,,,,,,
Sittingbourne,,"505,432","777,584","593,258","1,876,274",260,"317,297",London St Pancras International,SIT,South East,Southeastern,,,,,,,,,
Shrewsbury,,"635,770","1,045,052","167,514","1,848,336",261,"193,774",Birmingham New Street,SHR,West Midlands,TfW Rail,,,,,,,,,
Havant,,"396,426","1,120,034","331,050","1,847,510",262,"275,582",London Waterloo,HAV,South East,South Western Railway,,,,,,,,,
Lincoln,,"470,034","1,283,200","80,696","1,833,930",263,"15,497",London Kings Cross,LCN,East Midlands,East Midlands Railway,,,,,,,,,
Catford Bridge,,"578,532","872,766","382,008","1,833,306",264,"53,974",London Bridge,CFB,London,Southeastern,,,,,,,,,
Enfield Town,,"675,824","962,296","193,112","1,831,232",265,868,Seven Sisters,ENF,London,London Overground,,,,,,,,,
Lancaster,,"164,442","1,471,388","194,240","1,830,070",266,"381,715",Preston (Lancs),LAN,North West,Avanti West Coast,,,,,,,,,
Bristol Parkway,,"318,880","1,445,160","59,606","1,823,646",267,"677,864",London Paddington,BPW,South West,Great Western Railway,,,,,,,,,
Ormskirk,,"377,308","1,151,204","292,004","1,820,516",268,"23,139",Liverpool Central,OMS,North West,Merseyrail,,,,,,,,,
Banbury,,"440,808","1,145,532","227,066","1,813,406",269,"234,856",London Marylebone,BAN,South East,Chiltern Railways,,,,,,,,,
Liverpool South Parkway,,"331,186","1,136,050","345,394","1,812,630",270,"141,083",Liverpool Lime Street,LPY,North West,Merseyrail,,,,,,,,,
Carlisle,,"90,582","1,607,678","102,938","1,801,198",271,"301,547",Newcastle,CAR,North West,Avanti West Coast,,,,,,,,,
Rochester,,"449,488","905,916","428,258","1,783,662",272,"55,711",London Victoria,RTR,South East,Southeastern,,,,,,,,,
Fratton,,"436,146","1,182,924","156,686","1,775,756",273,"154,235",London Waterloo,FTN,South East,South Western Railway,,,,,,,,,
Gunnersbury,,"707,178","764,416","303,930","1,775,524",274,0,Willesden Junction,GUN,London,London Underground,,,,,,,,,
Norbiton,,"653,754","840,966","275,844","1,770,564",275,0,London Waterloo,NBT,London,South Western Railway,,,,,,,,,
Hove,,"462,336","1,020,618","283,794","1,766,748",276,"328,410",London Victoria,HOV,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Laindon,,"834,586","515,292","398,634","1,748,512",277,0,London Fenchurch Street,LAI,East of England,c2c,,,,,,,,,
Portsmouth Harbour,,"314,038","1,257,198","175,338","1,746,574",278,"12,920",London Waterloo,PMH,South East,South Western Railway,,,,,,,,,
New Eltham,,"702,302","760,678","259,008","1,721,988",279,0,London Bridge,NEH,London,Southeastern,,,,,,,,,
Cardiff Queen Street,,"1,375,824","86,438","251,458","1,713,720",280,"395,420",Cardiff Bay,CDQ,Wales,TfW Rail,,,,,,,,,
Portsmouth and Southsea,,"306,960","1,228,862","171,388","1,707,210",281,"21,158",Havant,PMS,South East,South Western Railway,,,,,,,,,
Chingford,,"620,392","975,842","99,214","1,695,448",282,0,London Liverpool Street,CHI,London,London Overground,,,,,,,,,
Clapton,,"537,286","918,016","234,848","1,690,150",283,3,London Liverpool Street,CPT,London,London Overground,,,,,,,,,
Weybridge,,"779,856","618,200","282,924","1,680,980",284,"473,962",London Waterloo,WYB,South East,South Western Railway,,,,,,,,,
Elephant and Castle,,"578,106","734,156","368,402","1,680,664",285,"438,837",Streatham (Greater London),EPH,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Stafford,,"526,002","954,158","158,702","1,638,862",286,"338,457",London Euston,STA,West Midlands,Avanti West Coast,,,,,,,,,
Salisbury,,"292,596","1,146,336","182,630","1,621,562",287,"217,777",London Waterloo,SAL,South West,South Western Railway,,,,,,,,,
Witham,,"428,766","588,948","600,066","1,617,780",288,"123,522",London Liverpool Street,WTM,East of England,Greater Anglia,,,,,,,,,
Wood Street,,"570,304","892,652","147,782","1,610,738",289,0,Walthamstow Central,WST,London,London Overground,,,,,,,,,
Bicester Village,,"186,156","1,286,918","137,522","1,610,596",290,616,London Marylebone,BIT,South East,Chiltern Railways,,,,,,,,,
Mill Hill Broadway,,"591,426","745,324","249,776","1,586,526",291,0,West Hampstead Thameslink,MIL,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Worcester Foregate Street,,"506,586","678,142","398,248","1,582,976",292,"459,965",Birmingham New Street,WOF,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Windsor and Eton Central,,"367,866","1,050,204","162,096","1,580,166",293,"31,942",London Paddington,WNC,South East,Great Western Railway,,,,,,,,,
Finchley Road and Frognal,,"492,440","744,818","332,698","1,569,956",294,0,Highbury and Islington,FNY,London,London Overground,,,,,,,,,
Amersham,,"632,678","858,442","72,342","1,563,462",295,0,Harrow-On-The-Hill,AMR,South East,London Underground,,,,,,,,,
Leigh-On-Sea,,"707,884","570,836","284,640","1,563,360",296,0,London Fenchurch Street,LES,East of England,c2c,,,,,,,,,
Wokingham,,"468,550","843,998","247,778","1,560,326",297,"52,270",Reading,WKM,South East,South Western Railway,,,,,,,,,
Egham,,"600,156","762,210","196,978","1,559,344",298,0,London Waterloo,EGH,South East,South Western Railway,,,,,,,,,
Ebbsfleet International,,"503,318","799,908","255,644","1,558,870",299,"82,975",London St Pancras International,EBD,South East,HS1 Ltd,,,,,,,,,
Coulsdon South,,"617,572","689,588","248,594","1,555,754",300,0,London Bridge,CDS,London,Govia Thameslink Railway (Southern),,,,,,,,,
Harlow Town,,"602,740","654,460","288,458","1,545,658",301,0,London Liverpool Street,HWN,East of England,Greater Anglia,,,,,,,,,
Kentish Town West,,"523,272","799,282","222,814","1,545,368",302,0,Stratford (London),KTW,London,London Overground,,,,,,,,,
Wickford,,"610,930","456,884","436,938","1,504,752",303,"361,285",London Liverpool Street,WIC,East of England,Greater Anglia,,,,,,,,,
Harrogate,,"271,760","1,115,368","115,432","1,502,560",304,"1,132",Leeds,HGT,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Acton Central,,"514,242","748,324","236,470","1,499,036",305,0,Richmond (London),ACC,London,London Overground,,,,,,,,,
Bracknell,,"515,106","771,352","204,210","1,490,668",306,132,London Waterloo,BCE,South East,South Western Railway,,,,,,,,,
Silver Street,,"511,376","748,468","220,560","1,480,404",307,0,Seven Sisters,SLV,London,London Overground,,,,,,,,,
Deptford,,"405,260","689,268","381,232","1,475,760",308,0,London Bridge,DEP,London,Southeastern,,,,,,,,,
Letchworth Garden City,,"563,808","674,168","233,028","1,471,004",309,0,London Kings Cross,LET,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Burgess Hill,,"308,680","753,302","405,110","1,467,092",310,0,Brighton,BUG,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Rotherhithe,,"412,958","855,224","196,968","1,465,150",311,0,Canada Water,ROE,London,London Overground,,,,,,,,,
Eltham,,"566,276","670,316","226,022","1,462,614",312,0,London Bridge,ELW,London,Southeastern,,,,,,,,,
Five Ways,,"574,444","529,004","355,406","1,458,854",313,0,Birmingham New Street,FWY,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Dundee,,"436,434","973,894","43,232","1,453,560",314,"68,073",Edinburgh,DEE,Scotland,ScotRail,,,,,,,,,
Gloucester,,"428,092","953,610","71,246","1,452,948",315,"63,110",London Paddington,GCR,South West,Great Western Railway,,,,,,,,,
Meadowhall,,"427,780","859,718","165,280","1,452,778",316,"37,097",Sheffield,MHS,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Beckenham Junction,,"503,644","713,604","234,190","1,451,438",317,"35,852",London Victoria,BKJ,London,Southeastern,,,,,,,,,
Chesterfield,,"224,944","1,160,114","64,962","1,450,020",318,"164,810",Sheffield,CHD,East Midlands,East Midlands Railway,,,,,,,,,
Chippenham,,"270,908","1,036,244","137,722","1,444,874",319,"26,946",Bath Spa,CPM,South West,Great Western Railway,,,,,,,,,
Bradford Forster Square,,"510,654","585,840","341,238","1,437,732",320,"27,880",Leeds,BDQ,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Bexleyheath,,"584,484","640,464","198,478","1,423,426",321,0,London Bridge,BXH,London,Southeastern,,,,,,,,,
Halifax,,"488,914","785,390","144,298","1,418,602",322,"56,092",Leeds,HFX,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Fareham,,"374,776","868,914","171,466","1,415,156",323,"125,357",Southampton Central,FRM,South East,South Western Railway,,,,,,,,,
Bexhill,,"262,672","555,122","581,786","1,399,580",324,0,Hastings,BEX,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Taunton,,"220,386","1,108,222","69,490","1,398,098",325,"69,064",London Paddington,TAU,South West,Great Western Railway,,,,,,,,,
Petts Wood,,"600,678","585,716","205,372","1,391,766",326,0,London Bridge,PET,London,Southeastern,,,,,,,,,
Rainham (Kent),,"356,266","588,880","445,026","1,390,172",327,"8,960",London Bridge,RAI,South East,Southeastern,,,,,,,,,
Clapham High Street,,"461,570","653,798","271,606","1,386,974",328,0,Peckham Rye,CLP,London,London Overground,,,,,,,,,
Welling,,"542,374","563,670","275,908","1,381,952",329,0,London Bridge,WLI,London,Southeastern,,,,,,,,,
Teddington,,"522,174","711,120","147,236","1,380,530",330,"66,384",London Waterloo,TED,London,South Western Railway,,,,,,,,,
Leagrave,,"284,630","830,142","265,636","1,380,408",331,0,London St Pancras International,LEA,East of England,Govia Thameslink Railway (Thameslink),,,,,,,,,
Middlesbrough,,"238,400","1,008,352","129,658","1,376,410",332,"48,167",Darlington,MBR,North East,TransPennine Express,,,,,,,,,
Broxbourne,,"546,050","693,902","136,298","1,376,250",333,"284,657",London Liverpool Street,BXB,East of England,Greater Anglia,,,,,,,,,
Battersea Park,,"423,854","609,134","340,806","1,373,794",334,"4,479",London Victoria,BAK,London,Govia Thameslink Railway (Southern),,,,,,,,,
London Fields,,"467,010","768,242","137,452","1,372,704",335,0,London Liverpool Street,LOF,London,London Overground,,,,,,,,,
Blundellsands and Crosby,,"285,914","822,824","256,270","1,365,008",336,0,Liverpool Central,BLN,North West,Merseyrail,,,,,,,,,
